,AMIE,Nombre_Institucion,Codigo_Provincia,Provincia,Codigo_Canton,Canton,Codigo_Parroquia,Parroquia,Zona_Administrativa,Denominacion_Distrito,Codigo_Distrito,Codigo_Circuito_Educativo,Unidad_Administrativa_Circuital,Casos_excepcionales,Sostenimiento,Regimen_Escolar,Jurisdiccion,Tipo_de_Educacion,Modalidad,Jornada,Nivel,Etnia,Nacionalidad,Pueblo,Georeferencia,Institucion_responsable,Tipo_Acceso,Numero_de_estudiantes,Numero_de_docentes,Estado
0,07H00408,BATALLON CAYAMBE NÚMERO 3,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,NO,1.0,Terrestre,163,13,Activa
1,07H00419,CORAZON DE JESUS,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Particular,COSTA,Hispana,Educación regular,Presencial,Vespertina,Bachillerato,Mestiza,No aplica,No Aplica,NO,1.0,Terrestre,33,11,Activa
2,07H00404,ONCE DE NOVIEMBRE,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,3.0,Terrestre,325,19,Activa
3,07H00412,ASAAD BUCARAM,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Nocturna,Educación Básica y Bachillerato,Mestiza,No aplica,No Aplica,SI,3.0,Terrestre,118,20,Activa
4,07H01432,BIMOT 1  CONSTITUCIÓN,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Popular Permanente,Presencial,Nocturna,Educación Básica y Alfabetización P.P.,Mestiza,No aplica,No Aplica,SI,3.0,Terrestre,18,1,Activa
5,07H01291,KLEBER TINOCO PINEDA,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación Especial,Presencial y Semipresencial,Matutina y Vespertina,Inicial y Educacción Básica,Mestiza,No aplica,No Aplica,SI,3.0,Terrestre,66,9,Activa
6,07H01305,LAS BRISAS,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,3.0,Terrestre,96,4,Activa
7,07H01306,CENTRO DE FORMACION ARTESANAL ARENILLAS,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Popular Permanente,Presencial,Nocturna,Educación Básica y Artesanal P.P,Mestiza,No aplica,No Aplica,SI,3.0,Terrestre,301,17,Activa
8,07H01309,25 DE DICIEMBRE,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,3.0,Terrestre,54,3,Activa
9,07H00397,AMAZONAS,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,121,5,Activa
